Date,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
01/01/1939,2.932,0.198,8.53,0.266,-2.771,0.236,13.538,0.114
01/01/1940,2.335,0.2,7.942,0.219,-3.35,0.256,13.576,0.12
01/01/1941,2.735,0.199,8.348,0.207,-3.01,0.214,13.622,0.111
01/01/1942,3.103,0.221,8.715,0.212,-2.609,0.282,13.821,0.13
01/01/1943,2.396,0.195,8.017,0.218,-3.283,0.216,13.522,0.136
01/01/1944,3.504,0.185,9.037,0.209,-1.929,0.225,13.819,0.117
01/01/1945,2.525,0.186,8.127,0.184,-2.907,0.229,13.586,0.122
01/01/1946,2.979,0.188,8.484,0.188,-2.547,0.257,13.638,0.129
01/01/1947,2.597,0.184,8.109,0.194,-2.992,0.238,13.532,0.125
01/01/1948,3.366,0.18,9.136,0.186,-2.352,0.193,13.666,0.119
01/01/1949,3.219,0.17,8.837,0.175,-2.428,0.213,13.704,0.101
01/01/1950,2.008,0.173,7.611,0.207,-3.622,0.236,13.311,0.095
01/01/1951,2.138,0.132,7.77,0.179,-3.521,0.179,13.341,0.09
01/01/1952,3.049,0.144,8.656,0.174,-2.579,0.193,13.762,0.089
01/01/1953,2.964,0.166,8.541,0.186,-2.629,0.201,13.642,0.092
01/01/1954,2.059,0.148,7.673,0.179,-3.581,0.201,13.38,0.089
01/01/1955,3.412,0.152,8.914,0.135,-2.028,0.146,13.717,0.086
01/01/1956,2.466,0.099,7.909,0.171,-3.055,0.179,13.444,0.075
01/01/1957,2.488,0.1,8.005,0.13,-2.97,0.106,13.473,0.073
01/01/1958,3.574,0.114,8.977,0.063,-1.772,0.202,13.881,0.075
01/01/1959,2.959,0.077,8.39,0.145,-2.406,0.154,13.636,0.069
01/01/1960,2.713,0.086,8.222,0.113,-2.623,0.085,13.553,0.067
01/01/1961,2.926,0.089,8.38,0.176,-2.383,0.129,13.664,0.064
01/01/1962,3.003,0.075,8.657,0.094,-2.509,0.083,13.655,0.06
01/01/1963,2.901,0.08,8.671,0.143,-2.679,0.122,13.594,0.063
01/01/1964,2.881,0.171,8.384,0.079,-2.549,0.161,13.595,0.076
01/01/1965,2.862,0.069,8.418,0.107,-2.526,0.133,13.545,0.061
01/01/1966,2.49,0.059,8.049,0.069,-3.041,0.098,13.495,0.057
01/01/1967,2.71,0.07,8.395,0.062,-2.869,0.14,13.527,0.055
01/01/1968,2.353,0.094,7.867,0.102,-3.062,0.075,13.389,0.054
01/01/1969,1.966,0.053,7.229,0.091,-3.298,0.116,13.518,0.048
01/01/1970,2.836,0.084,8.288,0.117,-2.584,0.099,13.711,0.052
01/01/1971,2.967,0.101,8.531,0.122,-2.531,0.125,13.615,0.054
01/01/1972,1.882,0.086,7.392,0.143,-3.549,0.205,13.298,0.053
01/01/1973,3.038,0.092,8.492,0.152,-2.308,0.104,13.774,0.052
01/01/1974,2.261,0.096,7.464,0.109,-2.894,0.096,13.3,0.052
01/01/1975,3.059,0.078,8.484,0.071,-2.257,0.121,13.621,0.051
01/01/1976,2.884,0.068,8.398,0.079,-2.452,0.11,13.442,0.05
01/01/1977,2.492,0.087,7.764,0.197,-2.648,0.16,13.647,0.05
01/01/1978,2.705,0.095,8.006,0.078,-2.52,0.078,13.587,0.054
01/01/1979,2.679,0.083,8.071,0.125,-2.625,0.1,13.63,0.048
01/01/1980,2.956,0.087,8.468,0.08,-2.457,0.124,13.812,0.049
01/01/1981,3.785,0.121,9.267,0.193,-1.298,0.153,13.963,0.055
01/01/1982,2.558,0.08,8.09,0.13,-2.777,0.097,13.587,0.053
01/01/1983,3.445,0.115,8.747,0.084,-1.65,0.08,13.979,0.057
01/01/1984,2.941,0.081,8.338,0.111,-2.235,0.085,13.701,0.052
01/01/1985,3.01,0.082,8.385,0.122,-2.22,0.063,13.678,0.052
01/01/1986,3.315,0.117,8.818,0.071,-2.011,0.076,13.724,0.057
01/01/1987,3.139,0.115,8.701,0.082,-2.344,0.109,13.758,0.058
01/01/1988,3.454,0.07,8.864,0.12,-1.798,0.09,13.978,0.052
01/01/1989,2.71,0.108,8.095,0.118,-2.598,0.118,13.566,0.058
01/01/1990,3.243,0.09,8.557,0.099,-1.939,0.075,13.891,0.057
01/01/1991,3.195,0.066,8.506,0.044,-1.907,0.114,13.859,0.056
01/01/1992,3.579,0.084,8.914,0.1,-1.655,0.093,13.961,0.058
01/01/1993,3.301,0.096,8.666,0.065,-1.919,0.076,13.896,0.062
01/01/1994,3.024,0.063,8.336,0.107,-2.274,0.099,13.731,0.057
01/01/1995,3.54,0.057,8.895,0.151,-1.769,0.173,13.945,0.06
01/01/1996,2.862,0.088,8.351,0.107,-2.512,0.108,13.721,0.059
01/01/1997,3.165,0.083,8.588,0.099,-2.134,0.078,13.818,0.058
01/01/1998,3.352,0.076,8.555,0.093,-1.776,0.086,14.063,0.063
01/01/1999,3.544,0.07,8.877,0.065,-1.732,0.11,13.933,0.063
01/01/2000,2.95,0.091,8.349,0.103,-2.322,0.072,13.773,0.064
01/01/2001,3.336,0.077,8.827,0.088,-2.078,0.06,13.936,0.063
01/01/2002,4.026,0.065,9.459,0.123,-1.322,0.089,14.258,0.062
01/01/2003,3.981,0.07,9.558,0.119,-1.481,0.091,14.207,0.064
01/01/2004,3.525,0.062,8.901,0.109,-1.65,0.097,14.097,0.059
01/01/2005,3.808,0.064,9.026,0.135,-1.377,0.066,14.159,0.059
01/01/2006,3.286,0.064,8.617,0.106,-1.942,0.113,13.99,0.059
01/01/2007,4.579,0.059,10.084,0.147,-0.818,0.073,14.417,0.057
01/01/2008,2.844,0.059,8.155,0.16,-2.383,0.109,13.719,0.057
01/01/2009,3.687,0.078,9.176,0.103,-1.756,0.107,14.091,0.058
01/01/2010,3.737,0.079,9.245,0.087,-1.677,0.082,14.208,0.06
01/01/2011,3.282,0.082,8.722,0.096,-2.034,0.133,13.928,0.059
01/01/2012,3.157,0.085,8.691,0.135,-2.233,0.117,13.859,0.06
01/01/2013,3.685,0.097,9.255,0.154,-1.726,0.088,14.117,0.064
01/01/2014,3.732,0.075,9.327,0.138,-1.755,0.091,14.136,0.064
01/01/2015,3.881,0.13,9.432,0.09,-1.518,0.097,14.255,0.066
